District,Year,Season,Cultivated_Extent,Avg_Yield,Production,Season_Encoded,Production_per_Hectare,Prev_Production
Ampara,2022,Maha,79886,4172,318517,1,3.99,221529
Trincomalee,2022,Maha,48574,3138,141623,1,2.91,98005
Kurunegala,2022,Maha,77857,3760,292723,1,3.76,260302
Puttalam,2022,Maha,19033,3570,57756,1,3.03,39985
Anuradhapura,2022,Maha,117357,3849,363239,1,3.09,260448
Polonnaruwa,2022,Maha,69449,4416,271313,1,3.91,182628
Badulla,2022,Maha,25751,3662,80152,1,3.11,62221
Monaragala,2022,Maha,35573,4003,139548,1,3.92,100062
Ratnapura,2022,Maha,14598,3761,46666,1,3.2,37299
Kegalle,2022,Maha,7127,3581,23909,1,3.35,20620
Colombo,2022,Yala,2880,2207,5412,0,1.88,4899
Gampaha,2022,Yala,9836,2493,20844,0,2.12,21588
Kalutara,2022,Yala,10661,2330,22915,0,2.15,26515
Kandy,2022,Yala,10089,3227,25743,0,2.55,21559
Matale,2022,Yala,12683,2768,31577,0,2.49,51415
NuwaraEliya,2022,Yala,2871,3704,5993,0,2.09,5680
Galle,2022,Yala,10422,2194,17896,0,1.72,18873
Matara,2022,Yala,13072,2730,28178,0,2.16,40787
Hambantota,2022,Yala,33003,4612,132995,0,4.03,175190
Mannar,2022,Yala,2274,3425,7435,0,3.27,12860
Vavuniya,2022,Yala,5456,4368,22485,0,4.12,26606
Mullaitivu,2022,Yala,6891,3558,23132,0,3.36,36832
Kilinochchi,2022,Yala,10328,2945,26985,0,2.61,41288
Batticaloa,2022,Yala,28696,2950,74720,0,2.6,117353
Ampara,2022,Yala,62644,3708,221999,0,3.54,313708
Trincomalee,2022,Yala,24491,4026,91605,0,3.74,123491
Kurunegala,2022,Yala,56581,2775,157003,0,2.77,273572
Puttalam,2022,Yala,13308,2755,31158,0,2.34,58728
Anuradhapura,2022,Yala,59832,3248,156283,0,2.61,233948
Polonnaruwa,2022,Yala,58631,4288,222414,0,3.79,300317
Badulla,2022,Yala,12593,3349,35851,0,2.85,52327
Monaragala,2022,Yala,15437,3414,51654,0,3.35,77752
Ratnapura,2022,Yala,11522,3356,32865,0,2.85,37617
Kegalle,2022,Yala,6088,2548,14533,0,2.39,15297
Colombo,2023,Maha,3648,3402,10547,1,2.89,10222
Gampaha,2023,Maha,10406,3159,27942,1,2.68,35911
Kalutara,2023,Maha,11493,3032,32142,1,2.8,32973
Kandy,2023,Maha,12818,3836,38881,1,3.03,37603
Matale,2023,Maha,18796,4333,73239,1,3.9,76864
NuwaraEliya,2023,Maha,4524,4238,10804,1,2.39,10898
Galle,2023,Maha,6823,2993,15980,1,2.34,23803
Matara,2023,Maha,10201,3158,25432,1,2.49,38884
Hambantota,2023,Maha,35958,5668,178053,1,4.95,178137
Jaffna,2023,Maha,11340,2691,27081,1,2.39,28869
Mannar,2023,Maha,27982,4327,115602,1,4.13,73839
Vavuniya,2023,Maha,22786,3878,83359,1,3.66,62101
Mullaitivu,2023,Maha,23074,3009,65506,1,2.84,76274
Kilinochchi,2023,Maha,27817,2005,49494,1,1.78,79545
Batticaloa,2023,Maha,66991,2410,142522,1,2.13,194671
Ampara,2023,Maha,71045,3933,267017,1,3.76,318517
Trincomalee,2023,Maha,48483,3409,153558,1,3.17,141623
Kurunegala,2023,Maha,74682,3592,268234,1,3.59,292723
Puttalam,2023,Maha,19500,3843,63699,1,3.27,57756
Anuradhapura,2023,Maha,125271,4637,467075,1,3.73,363239
Polonnaruwa,2023,Maha,69843,4697,290191,1,4.16,271313
Badulla,2023,Maha,26053,4494,99528,1,3.82,80152
Monaragala,2023,Maha,36475,4142,148069,1,4.06,139548
Ratnapura,2023,Maha,12908,4301,47224,1,3.66,46666
Kegalle,2023,Maha,6125,3622,20779,1,3.39,23909
Colombo,2023,Yala,2215,2371,4464,0,2.01,5412
Gampaha,2023,Yala,8467,2557,18401,0,2.17,20844
Kalutara,2023,Yala,9115,2487,20913,0,2.29,22915
Kandy,2023,Yala,9861,3762,29335,0,2.98,25743
Matale,2023,Yala,11566,3976,41359,0,3.58,31577
NuwaraEliya,2023,Yala,2436,4119,5653,0,2.32,5993
Galle,2023,Yala,5024,2169,8527,0,1.7,17896
Matara,2023,Yala,9709,2999,22989,0,2.37,28178
Hambantota,2023,Yala,32920,5087,146310,0,4.44,132995
Mannar,2023,Yala,2369,4826,10918,0,4.61,7435
Vavuniya,2023,Yala,5530,4071,21243,0,3.84,22485
Mullaitivu,2023,Yala,5752,4418,23973,0,4.17,23132
Kilinochchi,2023,Yala,6882,3988,24355,0,3.54,26985
Batticaloa,2023,Yala,33566,3557,105366,0,3.14,74720
Ampara,2023,Yala,63176,4338,261938,0,4.15,221999
Trincomalee,2023,Yala,28649,4771,126977,0,4.43,91605
Kurunegala,2023,Yala,59851,3447,206292,0,3.45,157003
Puttalam,2023,Yala,17270,3810,55932,0,3.24,31158
Anuradhapura,2023,Yala,64852,4302,224321,0,3.46,156283
Polonnaruwa,2023,Yala,65990,4918,287105,0,4.35,222414
Badulla,2023,Yala,13176,4554,51003,0,3.87,35851
Monaragala,2023,Yala,16490,4026,65066,0,3.95,51654
Ratnapura,2023,Yala,10424,4195,37169,0,3.57,32865
Kegalle,2023,Yala,6382,2974,17782,0,2.79,14533
Colombo,2024,Maha,3300,2870,8051,1,2.44,10547
Gampaha,2024,Maha,9909,3302,27810,1,2.81,27942
Kalutara,2024,Maha,9630,2727,24229,1,2.52,32142
Kandy,2024,Maha,11201,3480,30827,1,2.75,38881
Matale,2024,Maha,17779,4507,72064,1,4.05,73239
NuwaraEliya,2024,Maha,4357,3188,7826,1,1.8,10804
Galle,2024,Maha,7403,2968,17198,1,2.32,15980
Matara,2024,Maha,10809,3479,29671,1,2.75,25432
Hambantota,2024,Maha,36174,5725,180925,1,5,178053
Jaffna,2024,Maha,9744,2246,19426,1,1.99,27081
Mannar,2024,Maha,20829,4776,94978,1,4.56,115602
