District,Year,Season,Cultivated_Extent,Avg_Yield,Production,Season_Encoded,Production_per_Hectare,Prev_Production
NuwaraEliya,2008,Yala,2087,3688,4250,0,2.04,4310
Badulla,2008,Yala,12746,4605,49877,0,3.91,42214
Monaragala,2008,Yala,13716,4272,56987,0,4.15,38269
Vavuniya,2008,Yala,4969,4390,18523,0,3.73,2453
Mannar,2008,Yala,984,4288,3626,0,3.68,3366
Anuradhapura,2008,Yala,49133,4396,170500,0,3.47,56492
Polonnaruwa,2008,Yala,54481,4971,239485,0,4.4,221598
Trincomalee,2008,Yala,15296,4504,63370,0,4.14,42147
Batticaloa,2008,Yala,17728,3943,61609,0,3.47,6955
Ampara,2008,Yala,60168,4927,283081,0,4.7,255935
Hambantota,2008,Yala,24500,4725,100947,0,4.12,89652
Colombo,2009,Maha,4763,3505,14190,1,2.98,13605
Gampaha,2009,Maha,12464,3451,36560,1,2.93,30430
Kalutara,2009,Maha,15289,3208,45245,1,2.96,42055
Galle,2009,Maha,17142,3286,44078,1,2.57,37139
Matara,2009,Maha,15811,3641,45455,1,2.87,45251
Ratnapura,2009,Maha,13485,3318,38034,1,2.82,38149
Kegalle,2009,Maha,8331,3791,29589,1,3.55,28195
Kurunegala,2009,Maha,68023,4033,274343,1,4.03,302664
Puttalam,2009,Maha,14236,3973,48075,1,3.38,66038
Kandy,2009,Maha,13826,3470,37943,1,2.74,40208
Matale,2009,Maha,20088,4494,81175,1,4.04,64090
NuwaraEliya,2009,Maha,5583,4134,13007,1,2.33,13002
Badulla,2009,Maha,26988,4324,99203,1,3.67,76667
Monaragala,2009,Maha,27360,4413,118331,1,4.33,58892
Jaffna,2009,Maha,8703,2605,20117,1,2.31,16230
Vavuniya,2009,Maha,4830,5367,24457,1,5.06,29627
Mullaitivu,2009,Maha,2144,5316,10753,1,5.01,0
Mannar,2009,Maha,8093,5403,41755,1,5.16,18758
Anuradhapura,2009,Maha,81063,4924,320937,1,3.96,294898
Polonnaruwa,2009,Maha,60301,5336,284628,1,4.72,263014
Trincomalee,2009,Maha,26521,4332,106727,1,4.02,95236
Batticaloa,2009,Maha,54329,4031,193274,1,3.56,147278
Ampara,2009,Maha,69840,5368,358274,1,5.13,337390
Hambantota,2009,Maha,26012,5183,117793,1,4.53,117115
Colombo,2009,Yala,3603,3004,9200,0,2.55,10269
Gampaha,2009,Yala,8095,3390,23329,0,2.88,20592
Kalutara,2009,Yala,12863,2898,34387,0,2.67,27454
Galle,2009,Yala,13084,2997,30684,0,2.35,32005
Matara,2009,Yala,15538,3628,44501,0,2.86,47167
Ratnapura,2009,Yala,11840,3277,32980,0,2.79,33882
Kegalle,2009,Yala,7610,3374,24051,0,3.16,23111
Kurunegala,2009,Yala,46516,3534,164376,0,3.53,214632
Puttalam,2009,Yala,14831,3653,46053,0,3.1,45184
Kandy,2009,Yala,9185,3545,25747,0,2.8,35782
Matale,2009,Yala,6163,3642,20188,0,3.28,40409
NuwaraEliya,2009,Yala,2858,2913,4692,0,1.64,4250
Badulla,2009,Yala,7973,4673,31671,0,3.97,49877
Monaragala,2009,Yala,7325,3645,26167,0,3.57,56987
Anuradhapura,2009,Yala,17781,4426,63275,0,3.56,170500
Polonnaruwa,2009,Yala,36583,4737,153302,0,4.19,239485
Trincomalee,2009,Yala,13947,4851,62850,0,4.51,63370
Batticaloa,2009,Yala,16020,4189,59227,0,3.7,61609
Ampara,2009,Yala,45303,4964,214941,0,4.74,283081
Hambantota,2009,Yala,21853,5017,95799,0,4.38,100947
Colombo,2010,Maha,4625,2706,10639,1,2.3,14190
Gampaha,2010,Maha,13032,3061,33905,1,2.6,36560
Kalutara,2010,Maha,15005,2917,40382,1,2.69,45245
Kandy,2010,Maha,12856,3121,31730,1,2.47,37943
Matale,2010,Maha,19565,3599,63319,1,3.24,81175
NuwaraEliya,2010,Maha,5572,3847,12077,1,2.17,13007
Galle,2010,Maha,16673,2968,38731,1,2.32,44078
Matara,2010,Maha,14515,3474,39811,1,2.74,45455
Hambantota,2010,Maha,35460,5779,179043,1,5.05,117793
Jaffna,2010,Maha,8636,2659,20381,1,2.36,20117
Mannar,2010,Maha,10992,4001,41990,1,3.82,41755
Vavuniya,2010,Maha,12591,4139,49171,1,3.9,24457
Mullaitivu,2010,Maha,6778,2456,15703,1,2.32,10753
Kilinochchi,2010,Maha,12204,2854,30907,1,2.53,30979
Batticaloa,2010,Maha,14424,2399,30539,1,2.12,193274
Ampara,2010,Maha,39682,3333,126409,1,3.19,358274
Trincomalee,2010,Maha,23191,2388,51451,1,2.22,106727
Kurunegala,2010,Maha,80206,3319,266234,1,3.32,274343
Puttalam,2010,Maha,19373,3641,59959,1,3.09,48075
Anuradhapura,2010,Maha,105587,4463,378939,1,3.59,320937
Polonnaruwa,2010,Maha,60145,3831,203822,1,3.39,284628
Badulla,2010,Maha,27175,3324,76787,1,2.83,99203
Monaragala,2010,Maha,30544,4077,122027,1,3.99,118331
Ratnapura,2010,Maha,16461,3519,49242,1,2.99,38034
Kegalle,2010,Maha,8199,2993,22985,1,2.8,29589
Colombo,2010,Yala,2656,3209,7244,0,2.73,9200
Gampaha,2010,Yala,7810,3687,24475,0,3.13,23329
Kalutara,2010,Yala,11935,2682,29527,0,2.47,34387
Galle,2010,Yala,11685,2943,26912,0,2.3,30684
Matara,2010,Yala,15467,3415,41703,0,2.7,44501
Ratnapura,2010,Yala,11449,3280,31922,0,2.79,32980
Kegalle,2010,Yala,7209,2846,19222,0,2.67,24051
Kurunegala,2010,Yala,56386,3993,225159,0,3.99,164376
Puttalam,2010,Yala,9436,3567,28608,0,3.03,46053
Kandy,2010,Yala,10103,3567,28502,0,2.82,25747
Matale,2010,Yala,10718,4292,41370,0,3.86,20188
NuwaraEliya,2010,Yala,2960,4420,7373,0,2.49,4692
Badulla,2010,Yala,12665,4480,48224,0,3.81,31671
Monaragala,2010,Yala,13884,4210,57277,0,4.12,26167
Kilinochchi,2010,Yala,1468,2579,3360,0,2.29,0
Vavuniya,2010,Yala,827,4724,3685,0,4.46,0
Mullaitivu,2010,Yala,1150,3877,4207,0,3.66,0
Mannar,2010,Yala,600,3909,2240,0,3.73,0
Anuradhapura,2010,Yala,22808,4887,89625,0,3.93,63275
Polonnaruwa,2010,Yala,58300,5095,262738,0,4.51,153302
Trincomalee,2010,Yala,13059,4853,58879,0,4.51,62850
Batticaloa,2010,Yala,20894,4008,73906,0,3.54,59227
Ampara,2010,Yala,59196,4877,275913,0,4.66,214941
Hambantota,2010,Yala,24244,5114,108332,0,4.47,95799
Colombo,2011,Maha,4616,3477,13644,1,2.96,10639
Gampaha,2011,Maha,10333,3453,30332,1,2.94,33905
Kalutara,2011,Maha,14074,3367,43713,1,3.11,40382
Kandy,2011,Maha,12697,4169,41863,1,3.3,31730
Matale,2011,Maha,19086,4384,75244,1,3.94,63319
NuwaraEliya,2011,Maha,5475,4002,12348,1,2.25,12077
Galle,2011,Maha,15917,3431,42740,1,2.68,38731
Matara,2011,Maha,15177,3653,43767,1,2.88,39811
Hambantota,2011,Maha,26102,5198,118551,1,4.54,179043
Jaffna,2011,Maha,8668,2680,20611,1,2.38,20381
Mannar,2011,Maha,13416,4798,61459,1,4.58,41990
Vavuniya,2011,Maha,15713,3972,58888,1,3.75,49171
Mullaitivu,2011,Maha,9720,2994,27460,1,2.83,15703
Kilinochchi,2011,Maha,20478,3059,55591,1,2.72,30907
Batticaloa,2011,Maha,52115,3733,171715,1,3.29,30539
Ampara,2011,Maha,71877,5026,345264,1,4.8,126409
Trincomalee,2011,Maha,30160,4484,125644,1,4.17,51451
Kurunegala,2011,Maha,56718,3934,223110,1,3.93,266234
Puttalam,2011,Maha,12089,4087,41991,1,3.47,59959
Anuradhapura,2011,Maha,88865,4982,356020,1,4.01,378939
Polonnaruwa,2011,Maha,64487,5086,290130,1,4.5,203822
Badulla,2011,Maha,27221,4514,104433,1,3.84,76787
Monaragala,2011,Maha,31986,4258,133486,1,4.17,122027
Ratnapura,2011,Maha,12933,3367,37011,1,2.86,49242
Kegalle,2011,Maha,7052,3629,23970,1,3.4,22985
Colombo,2011,Yala,2343,2999,5970,0,2.55,7244
Gampaha,2011,Yala,5449,3415,15820,0,2.9,24475
Kalutara,2011,Yala,11394,2430,25538,0,2.24,29527
Kandy,2011,Yala,8943,3737,26154,0,2.92,28502
Matale,2011,Yala,10607,4202,35191,0,3.32,41370
NuwaraEliya,2011,Yala,2921,4208,6923,0,2.37,7373
Galle,2011,Yala,10545,2924,24130,0,2.29,26912
Matara,2011,Yala,15372,3299,40036,0,2.6,41703
Hambantota,2011,Yala,25260,5047,111387,0,4.41,108332
Mannar,2011,Yala,1799,3842,6601,0,3.67,2240
Vavuniya,2011,Yala,4272,4151,16781,0,3.93,3685
Mullaitivu,2011,Yala,3371,3669,11668,0,3.46,4207
Kilinochchi,2011,Yala,6501,2616,15090,0,2.32,3360
Batticaloa,2011,Yala,21699,4031,77196,0,3.56,73906
Ampara,2011,Yala,61904,4863,287675,0,4.65,275913
Trincomalee,2011,Yala,18256,4710,79890,0,4.38,58879
Kurunegala,2011,Yala,67458,3758,253478,0,3.76,225159
Puttalam,2011,Yala,17194,3684,53833,0,3.13,28608
Anuradhapura,2011,Yala,53943,4775,207127,0,3.84,89625
Polonnaruwa,2011,Yala,61605,5028,273981,0,4.45,262738
Badulla,2011,Yala,13149,4395,49123,0,3.74,48224
Monaragala,2011,Yala,15556,4123,62853,0,4.04,57277
Ratnapura,2011,Yala,11301,3315,31841,0,2.82,31922
Kegalle,2011,Yala,7003,2756,18077,0,2.58,19222
Colombo,2012,Maha,4062,3597,12418,1,3.06,13644
Gampaha,2012,Maha,11153,3750,35547,1,3.19,30332
Kalutara,2012,Maha,13582,3105,38898,1,2.86,43713
Kandy,2012,Maha,11944,4013,37909,1,3.17,41863
Matale,2012,Maha,21008,4404,83208,1,3.96,75244
NuwaraEliya,2012,Maha,5418,5282,16125,1,2.98,12348
Galle,2012,Maha,14024,3552,38984,1,2.78,42740
Matara,2012,Maha,14613,3960,45691,1,3.13,43767
Hambantota,2012,Maha,28802,6575,165450,1,5.74,118551
Jaffna,2012,Maha,10031,2388,21260,1,2.12,20611
Mannar,2012,Maha,14824,5509,77975,1,5.26,61459
Vavuniya,2012,Maha,17803,3722,62512,1,3.51,58888
Mullaitivu,2012,Maha,9726,2685,24639,1,2.53,27460
Kilinochchi,2012,Maha,11407,4221,42725,1,3.75,55591
Batticaloa,2012,Maha,62747,2088,115630,1,1.84,171715
Ampara,2012,Maha,80456,4084,314015,1,3.9,345264
Trincomalee,2012,Maha,31107,3424,98955,1,3.18,125644
Kurunegala,2012,Maha,80851,4806,388598,1,4.81,223110
Puttalam,2012,Maha,18830,4599,73606,1,3.91,41991
Anuradhapura,2012,Maha,95292,4467,342315,1,3.59,356020
Polonnaruwa,2012,Maha,64055,4889,277045,1,4.33,290130
Badulla,2012,Maha,29255,4869,121086,1,4.14,104433
Monaragala,2012,Maha,36730,4270,153684,1,4.18,133486
Ratnapura,2012,Maha,12574,3766,40249,1,3.2,37011
Kegalle,2012,Maha,12574,3916,18669,1,1.49,23970
Colombo,2012,Yala,906,3002,2314,0,2.55,5970
Gampaha,2012,Yala,3558,3258,9854,0,2.77,15820
Kalutara,2012,Yala,7216,2398,15960,0,2.21,25538
Kandy,2012,Yala,5389,3642,15358,0,2.85,26154
Matale,2012,Yala,5160,3686,15018,0,2.91,35191
NuwaraEliya,2012,Yala,1139,3087,1980,0,1.74,6923
Galle,2012,Yala,4177,3075,10051,0,2.41,24130
Matara,2012,Yala,12034,3050,28977,0,2.41,40036
Hambantota,2012,Yala,20525,4919,88203,0,4.3,111387
Mannar,2012,Yala,1850,3759,6171,0,3.34,6601
Vavuniya,2012,Yala,744,3788,2692,0,3.62,16781
Mullaitivu,2012,Yala,2582,3590,8772,0,3.4,11668
Kilinochchi,2012,Yala,4808,4032,18293,0,3.8,15090
Batticaloa,2012,Yala,23887,3965,83599,0,3.5,77196
Ampara,2012,Yala,59749,4729,270027,0,4.52,287675
Trincomalee,2012,Yala,15946,4455,65988,0,4.14,79890
Kurunegala,2012,Yala,15153,3413,51712,0,3.41,253478
Puttalam,2012,Yala,4466,3582,13600,0,3.05,53833
Anuradhapura,2012,Yala,22100,4049,71951,0,3.26,207127
Polonnaruwa,2012,Yala,45514,4199,169071,0,3.71,273981
Badulla,2012,Yala,11490,4208,41101,0,3.58,49123
Monaragala,2012,Yala,11708,3956,45392,0,3.88,62853
Ratnapura,2012,Yala,9122,3447,26729,0,2.93,31841
Kegalle,2012,Yala,2275,2728,5814,0,2.55,18077
Colombo,2013,Maha,3726,3167,11248,1,3.02,12418
Gampaha,2013,Maha,10636,3188,28817,1,2.71,35547
Kalutara,2013,Maha,12691,2915,34125,1,2.69,38898
Kandy,2013,Maha,11823,4187,39150,1,3.31,37909
Matale,2013,Maha,17089,3956,60792,1,3.56,83208
NuwaraEliya,2013,Maha,5025,4403,12468,1,2.48,16125
Galle,2013,Maha,12610,3653,36054,1,2.86,38984
Matara,2013,Maha,13847,3882,42438,1,3.06,45691
Hambantota,2013,Maha,26679,5592,130352,1,4.89,165450
Jaffna,2013,Maha,2624,1547,3602,1,1.37,21260
Mannar,2013,Maha,4989,5254,25027,1,5.02,77975
Vavuniya,2013,Maha,5472,3408,17595,1,3.21,62512
Mullaitivu,2013,Maha,6386,2563,15443,1,2.42,24639
Kilinochchi,2013,Maha,13398,4218,50149,1,3.74,42725
Batticaloa,2013,Maha,62204,3024,166010,1,2.67,115630
Ampara,2013,Maha,78981,4885,368748,1,4.67,314015
Trincomalee,2013,Maha,21757,4830,97630,1,4.49,98955
Kurunegala,2013,Maha,55480,4062,225332,1,4.06,388598
Puttalam,2013,Maha,12588,4072,43571,1,3.46,73606
Anuradhapura,2013,Maha,39648,3898,124275,1,3.13,342315
Polonnaruwa,2013,Maha,61346,4819,261525,1,4.26,277045
Badulla,2013,Maha,24742,4872,102456,1,4.14,121086
Monaragala,2013,Maha,23637,3969,91936,1,3.89,153684
Ratnapura,2013,Maha,11875,4053,40905,1,3.44,40249
Kegalle,2013,Maha,5946,3125,18629,1,3.13,18669
Colombo,2013,Yala,1247,2522,2673,0,2.14,2314
Gampaha,2013,Yala,4713,2934,11753,0,2.49,9854
Kalutara,2013,Yala,6906,2539,16175,0,2.34,15960
Kandy,2013,Yala,8439,3691,24633,0,2.92,15358
Matale,2013,Yala,9292,4617,38580,0,4.15,15018
NuwaraEliya,2013,Yala,1832,3196,3300,0,1.8,1980
Galle,2013,Yala,4050,2670,8461,0,2.09,10051
Matara,2013,Yala,11294,3475,30986,0,2.74,28977
Hambantota,2013,Yala,25850,4987,112623,0,4.36,88203
Mannar,2013,Yala,2248,5694,12225,0,5.44,6171
Vavuniya,2013,Yala,5270,4813,23930,0,4.54,2692
Mullaitivu,2013,Yala,3896,5227,19215,0,4.93,8772
Kilinochchi,2013,Yala,5825,5630,29102,0,5,18293
Batticaloa,2013,Yala,27556,4603,111943,0,4.06,83599
Ampara,2013,Yala,64352,4833,297229,0,4.62,270027
Trincomalee,2013,Yala,23012,4758,101718,0,4.42,65988
Kurunegala,2013,Yala,52300,3619,189281,0,3.62,51712
Puttalam,2013,Yala,11154,3856,36558,0,3.28,13600
Anuradhapura,2013,Yala,46850,4284,161406,0,3.45,71951
Polonnaruwa,2013,Yala,62503,4725,261263,0,4.18,169071
Badulla,2013,Yala,13485,4443,50922,0,3.78,41101
Monaragala,2013,Yala,15319,3696,55482,0,3.62,45392
Ratnapura,2013,Yala,8457,3941,28329,0,3.35,26729
Kegalle,2013,Yala,4661,2783,12150,0,2.61,5814
Colombo,2014,Maha,3484,3431,10156,1,2.91,11248
Gampaha,2014,Maha,11154,3594,33529,1,3.01,28817
Kalutara,2014,Maha,13020,3644,43668,1,3.35,34125
Kandy,2014,Maha,12135,4203,40102,1,3.3,39150
Matale,2014,Maha,20365,4602,82768,1,4.06,60792
NuwaraEliya,2014,Maha,5237,3717,10912,1,2.08,12468
Galle,2014,Maha,13130,3738,38317,1,2.92,36054
Matara,2014,Maha,14447,4266,48184,1,3.34,42438
Hambantota,2014,Maha,27175,6134,144681,1,5.32,130352
Jaffna,2014,Maha,10038,3096,27000,1,2.69,3602
Mannar,2014,Maha,17321,5489,88661,1,5.12,25027
Vavuniya,2014,Maha,16841,4816,76363,1,4.53,17595
Mullaitivu,2014,Maha,14613,3330,45739,1,3.13,15443
Kilinochchi,2014,Maha,23675,3689,69319,1,2.93,50149
Batticaloa,2014,Maha,61014,2686,120570,1,1.98,166010
Ampara,2014,Maha,83133,4078,307661,1,3.7,368748
Trincomalee,2014,Maha,34470,4473,117256,1,3.4,97630
Kurunegala,2014,Maha,79375,3609,278269,1,3.51,225332
Puttalam,2014,Maha,20116,4028,62620,1,3.11,43571
Anuradhapura,2014,Maha,99814,4802,353924,1,3.55,124275
Polonnaruwa,2014,Maha,74766,5306,349625,1,4.68,261525
Badulla,2014,Maha,27057,4761,109463,1,4.05,102456
Monaragala,2014,Maha,36038,3993,140155,1,3.89,91936
Ratnapura,2014,Maha,11751,3924,39147,1,3.33,40905
Kegalle,2014,Maha,6240,3857,22335,1,3.58,18629
Colombo,2014,Yala,983,3073,2555,0,2.6,2673
Gampaha,2014,Yala,5171,3179,13542,0,2.62,11753
Kalutara,2014,Yala,6272,2817,16269,0,2.59,16175
Kandy,2014,Yala,8118,3667,23521,0,2.9,24633
Matale,2014,Yala,6507,4169,23598,0,3.63,38580
NuwaraEliya,2014,Yala,1839,4274,4430,0,2.41,3300
Galle,2014,Yala,4767,2735,10204,0,2.14,8461
Matara,2014,Yala,11221,3398,29982,0,2.67,30986
Hambantota,2014,Yala,21524,4627,83451,0,3.88,112623
Mannar,2014,Yala,1726,3970,4530,0,2.62,12225
Vavuniya,2014,Yala,1557,4507,5455,0,3.5,23930
Mullaitivu,2014,Yala,440,3633,1453,0,3.3,19215
Kilinochchi,2014,Yala,324,4238,1217,0,3.76,29102
Batticaloa,2014,Yala,20282,4137,74062,0,3.65,111943
Ampara,2014,Yala,44377,4700,199265,0,4.49,297229
Trincomalee,2014,Yala,7394,4446,30225,0,4.09,101718
Kurunegala,2014,Yala,59599,3453,181603,0,3.05,189281
Puttalam,2014,Yala,10741,3927,34407,0,3.2,36558
Anuradhapura,2014,Yala,17542,4461,58012,0,3.31,161406
Polonnaruwa,2014,Yala,34553,4902,149778,0,4.33,261263
Badulla,2014,Yala,12843,4751,51419,0,4,50922
Monaragala,2014,Yala,8814,3778,28765,0,3.26,55482
Ratnapura,2014,Yala,7412,3525,22207,0,3,28329
Kegalle,2014,Yala,3969,2763,10184,0,2.57,12150
Colombo,2015,Maha,2896,3414,8381,1,2.89,10156
Gampaha,2015,Maha,9989,3849,32661,1,3.27,33529
Kalutara,2015,Maha,11736,3358,36314,1,3.09,43668
Kandy,2015,Maha,11747,3764,34921,1,2.97,40102
Matale,2015,Maha,19858,4460,79115,1,3.98,82768
NuwaraEliya,2015,Maha,4866,3779,10365,1,2.13,10912
Galle,2015,Maha,10174,2965,23476,1,2.31,38317
Matara,2015,Maha,12100,4055,37932,1,3.14,48184
Hambantota,2015,Maha,27848,5418,128424,1,4.61,144681
Jaffna,2015,Maha,10252,2352,17511,1,1.71,27000
Mannar,2015,Maha,18698,4999,89079,1,4.76,88661
Vavuniya,2015,Maha,17478,4359,71889,1,4.11,76363
Mullaitivu,2015,Maha,16046,3622,45851,1,2.86,45739
Kilinochchi,2015,Maha,24168,3959,84913,1,3.51,69319
Batticaloa,2015,Maha,61988,3022,150434,1,2.43,120570
Ampara,2015,Maha,80986,4467,344765,1,4.26,307661
Trincomalee,2015,Maha,34698,4570,145279,1,4.19,117256
Kurunegala,2015,Maha,80778,4131,333062,1,4.12,278269
Puttalam,2015,Maha,20090,3996,66466,1,3.31,62620
Anuradhapura,2015,Maha,96254,4748,365988,1,3.8,353924
Polonnaruwa,2015,Maha,65202,5056,291274,1,4.47,349625
Badulla,2015,Maha,27289,4303,99813,1,3.66,109463
Monaragala,2015,Maha,37683,3817,140855,1,3.74,140155
Ratnapura,2015,Maha,11163,3877,36660,1,3.28,39147
Kegalle,2015,Maha,5757,3933,21046,1,3.66,22335
Colombo,2015,Yala,1309,2275,2516,0,1.92,2555
Gampaha,2015,Yala,4592,3252,12648,0,2.75,13542
Kalutara,2015,Yala,7796,3495,25000,0,3.21,16269
Kandy,2015,Yala,8552,3647,24643,0,2.88,23521
Matale,2015,Yala,10186,4202,38362,0,3.77,23598
NuwaraEliya,2015,Yala,2157,3943,4792,0,2.22,4430
Galle,2015,Yala,5694,2649,10626,0,1.87,10204
Matara,2015,Yala,13655,3861,38709,0,2.83,29982
Hambantota,2015,Yala,26302,5279,118190,0,4.49,83451
Mannar,2015,Yala,2976,4954,13236,0,4.45,4530
Vavuniya,2015,Yala,5722,4683,24978,0,4.36,5455
Mullaitivu,2015,Yala,6969,4540,29848,0,4.28,1453
Kilinochchi,2015,Yala,6854,4634,28189,0,4.11,1217
Batticaloa,2015,Yala,27011,4811,114470,0,4.24,74062
Ampara,2015,Yala,65973,4906,309335,0,4.69,199265
Trincomalee,2015,Yala,22294,4745,97884,0,4.39,30225
Kurunegala,2015,Yala,62649,3562,218402,0,3.49,181603
Puttalam,2015,Yala,15327,3817,49227,0,3.21,34407
Anuradhapura,2015,Yala,50398,4612,185818,0,3.69,58012
Polonnaruwa,2015,Yala,62135,5131,280476,0,4.51,149778
Badulla,2015,Yala,13074,4459,49547,0,3.79,51419
Monaragala,2015,Yala,15415,4011,60550,0,3.93,28765
Ratnapura,2015,Yala,8311,3688,25984,0,3.13,22207
Kegalle,2015,Yala,4723,3437,15063,0,3.19,10184
Colombo,2016,Maha,2241,3437,6546,1,2.92,8381
Gampaha,2016,Maha,4998,3340,14187,1,2.84,32661
Kalutara,2016,Maha,8834,3565,29051,1,3.29,36314
Kandy,2016,Maha,8300,4377,28730,1,3.46,34921
Matale,2016,Maha,8048,4523,32734,1,4.07,79115
NuwaraEliya,2016,Maha,4322,3897,9490,1,2.2,10365
Galle,2016,Maha,8087,3543,22423,1,2.77,23476
Matara,2016,Maha,11509,4584,41652,1,3.62,37932
Hambantota,2016,Maha,21750,5253,99825,1,4.59,128424
Jaffna,2016,Maha,1830,2021,3283,1,1.79,17511
Mannar,2016,Maha,13863,4242,56149,1,4.05,89079
Vavuniya,2016,Maha,5401,4334,22083,1,4.09,71889
Mullaitivu,2016,Maha,5767,2957,16087,1,2.79,45851
Kilinochchi,2016,Maha,15063,3983,53241,1,3.53,84913
Batticaloa,2016,Maha,36866,2516,81878,1,2.22,150434
Ampara,2016,Maha,67737,4785,309733,1,4.57,344765
Trincomalee,2016,Maha,18375,4356,74365,1,4.05,145279
Kurunegala,2016,Maha,18481,4540,83898,1,4.54,333062
Puttalam,2016,Maha,6777,3625,20885,1,3.08,66466
Anuradhapura,2016,Maha,19736,4608,73127,1,3.71,365988
Polonnaruwa,2016,Maha,47782,5080,214722,1,4.49,291274
Badulla,2016,Maha,18009,4401,67366,1,3.74,99813
Monaragala,2016,Maha,12625,3922,48526,1,3.84,140855
Ratnapura,2016,Maha,7749,3697,24353,1,3.14,36660
Kegalle,2016,Maha,1845,3996,6906,1,3.74,21046
Colombo,2016,Yala,398,2567,869,0,2.18,2516
Gampaha,2016,Yala,1875,2703,4308,0,2.3,12648
Kalutara,2016,Yala,2786,2954,7592,0,2.72,25000
Kandy,2016,Yala,7552,3533,21103,0,2.79,24643
Matale,2016,Yala,7364,4886,32359,0,4.39,38362
NuwaraEliya,2016,Yala,2015,3297,3744,0,1.86,4792
Galle,2016,Yala,1180,3148,2908,0,2.46,10626
Matara,2016,Yala,6334,3719,18597,0,2.94,38709
Hambantota,2016,Yala,22042,5259,101267,0,4.59,118190
Mannar,2016,Yala,2000,4162,7949,0,3.97,13236
Vavuniya,2016,Yala,1121,4165,4405,0,3.93,24978
Mullaitivu,2016,Yala,5344,4297,21666,0,4.05,29848
Kilinochchi,2016,Yala,2442,4360,9452,0,3.87,28189
Batticaloa,2016,Yala,27330,3536,85305,0,3.12,114470
Ampara,2016,Yala,64003,4766,291520,0,4.55,309335
Trincomalee,2016,Yala,20963,4895,95320,0,4.55,97884
Kurunegala,2016,Yala,49356,3537,174599,0,3.54,218402
Puttalam,2016,Yala,13569,3282,37850,0,2.79,49227
Anuradhapura,2016,Yala,38223,4295,131995,0,3.45,185818
Polonnaruwa,2016,Yala,56245,5047,251131,0,4.47,280476
Badulla,2016,Yala,12679,4415,47583,0,3.75,49547
Monaragala,2016,Yala,9384,4363,40121,0,4.27,60550
Ratnapura,2016,Yala,6132,4172,21745,0,3.55,25984
Kegalle,2016,Yala,2418,3349,7588,0,3.14,15063
Colombo,2017,Maha,3183,3458,9354,1,2.94,6546
Gampaha,2017,Maha,10516,3782,33805,1,3.21,14187
Kalutara,2017,Maha,11039,3349,34107,1,3.09,29051
Kandy,2017,Maha,10842,3851,33019,1,3.05,28730
Matale,2017,Maha,15966,4690,67348,1,4.22,32734
NuwaraEliya,2017,Maha,4704,3417,9058,1,1.93,9490
Galle,2017,Maha,10725,2986,25059,1,2.34,22423
Matara,2017,Maha,13447,3808,40425,1,3.01,41652
Hambantota,2017,Maha,34695,5773,174989,1,5.04,99825
Jaffna,2017,Maha,8964,2055,16345,1,1.82,3283
Mannar,2017,Maha,18225,4487,78071,1,4.28,56149
Vavuniya,2017,Maha,8803,4223,35071,1,3.98,22083
Mullaitivu,2017,Maha,14711,3963,55005,1,3.74,16087
Kilinochchi,2017,Maha,24468,4213,91484,1,3.74,53241
Batticaloa,2017,Maha,64796,3100,177289,1,2.74,81878
Ampara,2017,Maha,76324,4562,332767,1,4.36,309733
Trincomalee,2017,Maha,38007,4083,144171,1,3.79,74365
Kurunegala,2017,Maha,42541,4418,187951,1,4.42,83898
Puttalam,2017,Maha,5179,4163,18322,1,3.54,20885
Anuradhapura,2017,Maha,47701,4414,169316,1,3.55,73127
Polonnaruwa,2017,Maha,64677,4848,277349,1,4.29,214722
Badulla,2017,Maha,19514,4340,71989,1,3.69,67366
